Member_number,Date,itemDescription
1001,01-01-2024,MILK
1001,01-01-2024,BREAD
1001,01-01-2024,EGGS
1002,01-01-2024,MILK
1002,01-01-2024,BUTTER
1002,01-01-2024,BREAD
1003,01-01-2024,EGGS
1003,01-01-2024,BACON
1003,01-01-2024,BREAD
1004,01-01-2024,MILK
1004,01-01-2024,COFFEE
1004,01-01-2024,SUGAR
1005,01-01-2024,BREAD
1005,01-01-2024,JAM
1005,01-01-2024,BUTTER
1001,02-01-2024,COFFEE
1001,02-01-2024,SUGAR
1001,02-01-2024,MILK
1002,02-01-2024,BREAD
1002,02-01-2024,JAM
1002,02-01-2024,BUTTER
1003,02-01-2024,EGGS
1003,02-01-2024,MILK
1003,02-01-2024,BREAD
1004,02-01-2024,COFFEE
1004,02-01-2024,MILK
1004,02-01-2024,SUGAR
1005,02-01-2024,BREAD
1005,02-01-2024,BUTTER
1005,02-01-2024,JAM
1001,03-01-2024,MILK
1001,03-01-2024,BREAD
1001,03-01-2024,EGGS
1002,03-01-2024,BUTTER
1002,03-01-2024,BREAD
1002,03-01-2024,JAM
1003,03-01-2024,EGGS
1003,03-01-2024,BACON
1003,03-01-2024,BREAD
1004,03-01-2024,COFFEE
1004,03-01-2024,SUGAR
1004,03-01-2024,MILK
1005,03-01-2024,BREAD
1005,03-01-2024,JAM
1005,03-01-2024,BUTTER 
